242	1F645	🙅
243	1F645 200D 2642 FE0F	🙅‍♂️
244	1F645 200D 2640 FE0F	🙅‍♀️
245	1F646	🙆
246	1F646 200D 2642 FE0F	🙆‍♂️
247	1F646 200D 2640 FE0F	🙆‍♀️
248	1F481	💁
249	1F481 200D 2642 FE0F	💁‍♂️
250	1F481 200D 2640 FE0F	💁‍♀️
251	1F64B	🙋
252	1F64B 200D 2642 FE0F	🙋‍♂️
253	1F64B 200D 2640 FE0F	🙋‍♀️
254	1F9CF	🧏
255	1F9CF 200D 2642 FE0F	🧏‍♂️
№	Code	Browser
256	1F9CF 200D 2640 FE0F	🧏‍♀️
257	1F647	🙇
258	1F647 200D 2642 FE0F	🙇‍♂️
259	1F647 200D 2640 FE0F	🙇‍♀️
260	1F926	🤦
261	1F926 200D 2642 FE0F	🤦‍♂️
262	1F926 200D 2640 FE0F	🤦‍♀️
263	1F937	🤷
264	1F937 200D 2642 FE0F	🤷‍♂️
265	1F937 200D 2640 FE0F	🤷‍♀️
person-role		
№	Code	Browser
266	1F9D1 200D 2695 FE0F	🧑‍⚕️
267	1F468 200D 2695 FE0F	👨‍⚕️
268	1F469 200D 2695 FE0F	👩‍⚕️
269	1F9D1 200D 1F393	🧑‍🎓
270	1F468 200D 1F393	👨‍🎓
271	1F469 200D 1F393	👩‍🎓
272	1F9D1 200D 1F3EB	🧑‍🏫
273	1F468 200D 1F3EB	👨‍🏫
274	1F469 200D 1F3EB	👩‍🏫
275	1F9D1 200D 2696 FE0F	🧑‍⚖️
276	1F468 200D 2696 FE0F	👨‍⚖️
277	1F469 200D 2696 FE0F	👩‍⚖️
278	1F9D1 200D 1F33E	🧑‍🌾
279	1F468 200D 1F33E	👨‍🌾
280	1F469 200D 1F33E	👩‍🌾
281	1F9D1 200D 1F373	🧑‍🍳
282	1F468 200D 1F373	👨‍🍳
283	1F469 200D 1F373	👩‍🍳
284	1F9D1 200D 1F527	🧑‍🔧
285	1F468 200D 1F527	👨‍🔧
№	Code	Browser
286	1F469 200D 1F527	👩‍🔧
287	1F9D1 200D 1F3ED	🧑‍🏭
288	1F468 200D 1F3ED	👨‍🏭
289	1F469 200D 1F3ED	👩‍🏭
290	1F9D1 200D 1F4BC	🧑‍💼
291	1F468 200D 1F4BC	👨‍💼
292	1F469 200D 1F4BC	👩‍💼
293	1F9D1 200D 1F52C	🧑‍🔬
294	1F468 200D 1F52C	👨‍🔬
295	1F469 200D 1F52C	👩‍🔬
296	1F9D1 200D 1F4BB	🧑‍💻
297	1F468 200D 1F4BB	👨‍💻
298	1F469 200D 1F4BB	👩‍💻
299	1F9D1 200D 1F3A4	🧑‍🎤
300	1F468 200D 1F3A4	👨‍🎤
301	1F469 200D 1F3A4	👩‍🎤
302	1F9D1 200D 1F3A8	🧑‍🎨
303	1F468 200D 1F3A8	👨‍🎨
304	1F469 200D 1F3A8	👩‍🎨
305	1F9D1 200D 2708 FE0F	🧑‍✈️
№	Code	Browser
306	1F468 200D 2708 FE0F	👨‍✈️
307	1F469 200D 2708 FE0F	👩‍✈️
308	1F9D1 200D 1F680	🧑‍🚀
309	1F468 200D 1F680	👨‍🚀
310	1F469 200D 1F680	👩‍🚀
311	1F9D1 200D 1F692	🧑‍🚒
312	1F468 200D 1F692	👨‍🚒
313	1F469 200D 1F692	👩‍🚒
314	1F46E	👮
315	1F46E 200D 2642 FE0F	👮‍♂️
316	1F46E 200D 2640 FE0F	👮‍♀️
317	1F575	🕵
318	1F575 FE0F 200D 2642 FE0F	🕵️‍♂️
319	1F575 FE0F 200D 2640 FE0F	🕵️‍♀️
320	1F482	💂
321	1F482 200D 2642 FE0F	💂‍♂️
322	1F482 200D 2640 FE0F	💂‍♀️
323	1F977	🥷
324	1F477	👷
325	1F477 200D 2642 FE0F	👷‍♂️
№	Code	Browser
326	1F477 200D 2640 FE0F	👷‍♀️
327	1F934	🤴
328	1F478	👸
329	1F473	👳
330	1F473 200D 2642 FE0F	👳‍♂️
331	1F473 200D 2640 FE0F	👳‍♀️
332	1F472	👲
333	1F9D5	🧕
334	1F935	🤵
335	1F935 200D 2642 FE0F	🤵‍♂️
336	1F935 200D 2640 FE0F	🤵‍♀️
337	1F470	👰
338	1F470 200D 2642 FE0F	👰‍♂️
339	1F470 200D 2640 FE0F	👰‍♀️
340	1F930	🤰
341	1F931	🤱
342	1F469 200D 1F37C	👩‍🍼
343	1F468 200D 1F37C	👨‍🍼
344	1F9D1 200D 1F37C	🧑‍🍼
person-fantasy		
№	Code	Browser
345	1F47C	👼
346	1F385	🎅
347	1F936	🤶
348	1F9D1 200D 1F384	🧑‍🎄
349	1F9B8	🦸
350	1F9B8 200D 2642 FE0F	🦸‍♂️
351	1F9B8 200D 2640 FE0F	🦸‍♀️
352	1F9B9	🦹
353	1F9B9 200D 2642 FE0F	🦹‍♂️
354	1F9B9 200D 2640 FE0F	🦹‍♀️
355	1F9D9	🧙
356	1F9D9 200D 2642 FE0F	🧙‍♂️
357	1F9D9 200D 2640 FE0F	🧙‍♀️
358	1F9DA	🧚
359	1F9DA 200D 2642 FE0F	🧚‍♂️
360	1F9DA 200D 2640 FE0F	🧚‍♀️
361	1F9DB	🧛
362	1F9DB 200D 2642 FE0F	🧛‍♂️
363	1F9DB 200D 2640 FE0F	🧛‍♀️
364	1F9DC	🧜
№	Code	Browser
365	1F9DC 200D 2642 FE0F	🧜‍♂️
366	1F9DC 200D 2640 FE0F	🧜‍♀️
367	1F9DD	🧝
368	1F9DD 200D 2642 FE0F	🧝‍♂️
369	1F9DD 200D 2640 FE0F	🧝‍♀️
370	1F9DE	🧞
371	1F9DE 200D 2642 FE0F	🧞‍♂️
372	1F9DE 200D 2640 FE0F	🧞‍♀️
373	1F9DF	🧟
374	1F9DF 200D 2642 FE0F	🧟‍♂️
375	1F9DF 200D 2640 FE0F	🧟‍♀️
person-activity		
№	Code	Browser
376	1F486	💆
377	1F486 200D 2642 FE0F	💆‍♂️
378	1F486 200D 2640 FE0F	💆‍♀️
379	1F487	💇
380	1F487 200D 2642 FE0F	💇‍♂️
381	1F487 200D 2640 FE0F	💇‍♀️
382	1F6B6	🚶
383	1F6B6 200D 2642 FE0F	🚶‍♂️
384	1F6B6 200D 2640 FE0F	🚶‍♀️
385	1F9CD	🧍
386	1F9CD 200D 2642 FE0F	🧍‍♂️
387	1F9CD 200D 2640 FE0F	🧍‍♀️
388	1F9CE	🧎
389	1F9CE 200D 2642 FE0F	🧎‍♂️
390	1F9CE 200D 2640 FE0F	🧎‍♀️
391	1F9D1 200D 1F9AF	🧑‍🦯
392	1F468 200D 1F9AF	👨‍🦯
393	1F469 200D 1F9AF	👩‍🦯
394	1F9D1 200D 1F9BC	🧑‍🦼
395	1F468 200D 1F9BC	👨‍🦼
№	Code	Browser
396	1F469 200D 1F9BC	👩‍🦼
397	1F9D1 200D 1F9BD	🧑‍🦽
398	1F468 200D 1F9BD	👨‍🦽
399	1F469 200D 1F9BD	👩‍🦽
400	1F3C3	🏃
401	1F3C3 200D 2642 FE0F	🏃‍♂️
402	1F3C3 200D 2640 FE0F	🏃‍♀️
403	1F483	💃
404	1F57A	🕺
405	1F574	🕴
406	1F46F	👯
407	1F46F 200D 2642 FE0F	👯‍♂️
408	1F46F 200D 2640 FE0F	👯‍♀️
409	1F9D6	🧖
410	1F9D6 200D 2642 FE0F	🧖‍♂️
411	1F9D6 200D 2640 FE0F	🧖‍♀️
412	1F9D7	🧗
413	1F9D7 200D 2642 FE0F	🧗‍♂️
414	1F9D7 200D 2640 FE0F	🧗‍♀️
person-sport		
№	Code	Browser
415	1F93A	🤺
416	1F3C7	🏇
417	26F7	⛷
418	1F3C2	🏂
419	1F3CC	🏌
420	1F3CC FE0F 200D 2642 FE0F	🏌️‍♂️
421	1F3CC FE0F 200D 2640 FE0F	🏌️‍♀️
422	1F3C4	🏄
423	1F3C4 200D 2642 FE0F	🏄‍♂️
424	1F3C4 200D 2640 FE0F	🏄‍♀️
425	1F6A3	🚣
426	1F6A3 200D 2642 FE0F	🚣‍♂️
427	1F6A3 200D 2640 FE0F	🚣‍♀️
428	1F3CA	🏊
429	1F3CA 200D 2642 FE0F	🏊‍♂️
430	1F3CA 200D 2640 FE0F	🏊‍♀️
431	26F9	⛹
432	26F9 FE0F 200D 2642 FE0F	⛹️‍♂️
433	26F9 FE0F 200D 2640 FE0F	⛹️‍♀️
434	1F3CB	🏋
№	Code	Browser
435	1F3CB FE0F 200D 2642 FE0F	🏋️‍♂️
436	1F3CB FE0F 200D 2640 FE0F	🏋️‍♀️
437	1F6B4	🚴
438	1F6B4 200D 2642 FE0F	🚴‍♂️
439	1F6B4 200D 2640 FE0F	🚴‍♀️
440	1F6B5	🚵
441	1F6B5 200D 2642 FE0F	🚵‍♂️
442	1F6B5 200D 2640 FE0F	🚵‍♀️
443	1F938	🤸
444	1F938 200D 2642 FE0F	🤸‍♂️
445	1F938 200D 2640 FE0F	🤸‍♀️
446	1F93C	🤼
447	1F93C 200D 2642 FE0F	🤼‍♂️
448	1F93C 200D 2640 FE0F	🤼‍♀️
449	1F93D	🤽
450	1F93D 200D 2642 FE0F	🤽‍♂️
451	1F93D 200D 2640 FE0F	🤽‍♀️
452	1F93E	🤾
453	1F93E 200D 2642 FE0F	🤾‍♂️
454	1F93E 200D 2640 FE0F	🤾‍♀️
№	Code	Browser
455	1F939	🤹
456	1F939 200D 2642 FE0F	🤹‍♂️
457	1F939 200D 2640 FE0F	🤹‍♀️
person-resting		
№	Code	Browser
458	1F9D8	🧘
459	1F9D8 200D 2642 FE0F	🧘‍♂️
460	1F9D8 200D 2640 FE0F	🧘‍♀️
461	1F6C0	🛀
462	1F6CC	🛌
family		
№	Code	Browser
463	1F9D1 200D 1F91D 200D 1F9D1	🧑‍🤝‍🧑
464	1F46D	👭
465	1F46B	👫
466	1F46C	👬
467	1F48F	💏
468	1F469 200D 2764 FE0F 200D 1F48B 200D 1F468	👩‍❤️‍💋‍👨
469	1F468 200D 2764 FE0F 200D 1F48B 200D 1F468	👨‍❤️‍💋‍👨
470	1F469 200D 2764 FE0F 200D 1F48B 200D 1F469	👩‍❤️‍💋‍👩
471	1F491	💑
472	1F469 200D 2764 FE0F 200D 1F468	👩‍❤️‍👨
473	1F468 200D 2764 FE0F 200D 1F468	👨‍❤️‍👨
474	1F469 200D 2764 FE0F 200D 1F469	👩‍❤️‍👩
475	1F46A	👪
476	1F468 200D 1F469 200D 1F466	👨‍👩‍👦
477	1F468 200D 1F469 200D 1F467	👨‍👩‍👧
478	1F468 200D 1F469 200D 1F467 200D 1F466	👨‍👩‍👧‍👦
479	1F468 200D 1F469 200D 1F466 200D 1F466	👨‍👩‍👦‍👦
480	1F468 200D 1F469 200D 1F467 200D 1F467	👨‍👩‍👧‍👧
481	1F468 200D 1F468 200D 1F466	👨‍👨‍👦
482	1F468 200D 1F468 200D 1F467	👨‍👨‍👧
№	Code	Browser
483	1F468 200D 1F468 200D 1F467 200D 1F466	👨‍👨‍👧‍👦
484	1F468 200D 1F468 200D 1F466 200D 1F466	👨‍👨‍👦‍👦
485	1F468 200D 1F468 200D 1F467 200D 1F467	👨‍👨‍👧‍👧
486	1F469 200D 1F469 200D 1F466	👩‍👩‍👦
487	1F469 200D 1F469 200D 1F467	👩‍👩‍👧
488	1F469 200D 1F469 200D 1F467 200D 1F466	👩‍👩‍👧‍👦
489	1F469 200D 1F469 200D 1F466 200D 1F466	👩‍👩‍👦‍👦
490	1F469 200D 1F469 200D 1F467 200D 1F467	👩‍👩‍👧‍👧
491	1F468 200D 1F466	👨‍👦
